country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",09-03-2025 20:00:00,25.251013,86.989001,NO2,17,44,27
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",09-03-2025 20:00:00,25.251013,86.989001,OZONE,18,24,18
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",09-03-2025 20:00:00,25.265194,87.012947,SO2,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",09-03-2025 20:00:00,25.567520,83.966379,PM10,35,240,114
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",09-03-2025 20:00:00,25.567520,83.966379,SO2,4,13,7
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",09-03-2025 20:00:00,26.1209,85.3647,SO2,4,9,7
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",09-03-2025 20:00:00,25.586562,85.043586,PM2.5,NA,NA,NA
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",09-03-2025 20:00:00,25.586562,85.043586,NO2,29,35,31
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",09-03-2025 20:00:00,25.586562,85.043586,NH3,2,3,3
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",09-03-2025 20:00:00,25.586562,85.043586,SO2,3,9,5
India,Assam,Guwahati,"IITG, Guwahati - PCBA",09-03-2025 20:00:00,26.2028636,91.70046436,PM2.5,64,276,137
India,Assam,Guwahati,"IITG, Guwahati - PCBA",09-03-2025 20:00:00,26.2028636,91.70046436,SO2,19,23,21
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",09-03-2025 20:00:00,26.187500,91.744194,OZONE,16,17,17
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",09-03-2025 20:00:00,28.656756,77.227234,CO,6,115,107
India,Delhi,Delhi,"DTU, Delhi - CPCB",09-03-2025 20:00:00,28.7500499,77.1112615,CO,27,96,44
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",09-03-2025 20:00:00,28.498571,77.264840,NO2,45,112,79
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",09-03-2025 20:00:00,28.498571,77.264840,NH3,6,9,8
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",09-03-2025 20:00:00,28.498571,77.264840,SO2,18,40,25
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",09-03-2025 20:00:00,28.5710274,77.0719006,NH3,12,18,15
